"id","category","text_he","priority"
"content-sorting-057","שאלה: sorting","לאיזו קבוצה שייך מנורה?","חובה"
"content-sorting-058","שאלה: sorting","לאיזו קבוצה שייך שרפרף?","חובה"
"content-sorting-059","שאלה: sorting","לאיזו קבוצה שייך שידה?","חובה"
"content-sorting-060","שאלה: sorting","לאיזו קבוצה שייך ערסל?","חובה"
"content-sorting-061","שאלה: sorting","לאיזו קבוצה שייך ספר?","חובה"
"content-sorting-062","שאלה: sorting","לאיזו קבוצה שייך עיפרון?","חובה"
"content-sorting-063","שאלה: sorting","לאיזו קבוצה שייך מחברת?","חובה"
"content-sorting-064","שאלה: sorting","לאיזו קבוצה שייך סרגל?","חובה"
"content-sorting-065","שאלה: sorting","לאיזו קבוצה שייך מספריים?","חובה"
"content-sorting-066","שאלה: sorting","לאיזו קבוצה שייך ילקוט?","חובה"
"content-sorting-067","שאלה: sorting","לאיזו קבוצה שייך מחק?","חובה"
"content-sorting-068","שאלה: sorting","לאיזו קבוצה שייך צבע?","חובה"
"content-sorting-069","שאלה: sorting","לאיזו קבוצה שייך דבק?","חובה"
"content-sorting-070","שאלה: sorting","לאיזו קבוצה שייך לוח?","חובה"
"content-sorting-071","שאלה: sorting","לאיזו קבוצה שייך גיטרה?","חובה"
"content-sorting-072","שאלה: sorting","לאיזו קבוצה שייך כינור?","חובה"
"content-sorting-073","שאלה: sorting","לאיזו קבוצה שייך תוף?","חובה"
"content-sorting-074","שאלה: sorting","לאיזו קבוצה שייך פסנתר?","חובה"
"content-sorting-075","שאלה: sorting","לאיזו קבוצה שייך חצוצרה?","חובה"
"content-sorting-076","שאלה: sorting","לאיזו קבוצה שייך חליל?","חובה"
"content-sorting-077","שאלה: sorting","לאיזו קבוצה שייך מיקרופון?","חובה"
"content-sorting-078","שאלה: sorting","לאיזו קבוצה שייך פעמון?","חובה"
"content-sorting-079","שאלה: sorting","לאיזו קבוצה שייך אקורדיון?","חובה"
"content-sorting-080","שאלה: sorting","לאיזו קבוצה שייך סקסופון?","חובה"
"content-sorting-081","שאלה: sorting","לאיזו קבוצה שייך שמש?","חובה"
"content-sorting-082","שאלה: sorting","לאיזו קבוצה שייך ענן?","חובה"
"content-sorting-083","שאלה: sorting","לאיזו קבוצה שייך גשם?","חובה"
"content-sorting-084","שאלה: sorting","לאיזו קבוצה שייך שלג?","חובה"
"content-sorting-085","שאלה: sorting","לאיזו קבוצה שייך רוח?","חובה"
"content-sorting-086","שאלה: sorting","לאיזו קבוצה שייך ברק?","חובה"
"content-sorting-087","שאלה: sorting","לאיזו קבוצה שייך קשת?","חובה"
"content-sorting-088","שאלה: sorting","לאיזו קבוצה שייך ערפל?","חובה"
"content-sorting-089","שאלה: sorting","לאיזו קבוצה שייך סערה?","חובה"
"content-sorting-090","שאלה: sorting","לאיזו קבוצה שייך טיפה?","חובה"
"content-sorting-091","שאלה: sorting","לאיזו קבוצה שייך פרח?","חובה"
"content-sorting-092","שאלה: sorting","לאיזו קבוצה שייך עץ?","חובה"
"content-sorting-093","שאלה: sorting","לאיזו קבוצה שייך עלה?","חובה"
"content-sorting-094","שאלה: sorting","לאיזו קבוצה שייך קקטוס?","חובה"
"content-sorting-095","שאלה: sorting","לאיזו קבוצה שייך שתיל?","חובה"
"content-sorting-096","שאלה: sorting","לאיזו קבוצה שייך חמנייה?","חובה"
"content-sorting-097","שאלה: sorting","לאיזו קבוצה שייך ורד?","חובה"
"content-sorting-098","שאלה: sorting","לאיזו קבוצה שייך עשב?","חובה"
"content-sorting-099","שאלה: sorting","לאיזו קבוצה שייך תלתן?","חובה"
"content-sorting-100","שאלה: sorting","לאיזו קבוצה שייך דקל?","חובה"
"content-sorting-101","שאלה: sorting","לאיזו קבוצה שייך כדור?","חובה"
"content-sorting-102","שאלה: sorting","לאיזו קבוצה שייך בובה?","חובה"
"content-sorting-103","שאלה: sorting","לאיזו קבוצה שייך דובי?","חובה"
"content-sorting-104","שאלה: sorting","לאיזו קבוצה שייך קוביות?","חובה"
"content-sorting-105","שאלה: sorting","לאיזו קבוצה שייך עפיפון?","חובה"
"content-sorting-106","שאלה: sorting","לאיזו קבוצה שייך יו-יו?","חובה"
"content-sorting-107","שאלה: sorting","לאיזו קבוצה שייך פאזל?","חובה"
"content-sorting-108","שאלה: sorting","לאיזו קבוצה שייך בלון?","חובה"
"content-sorting-109","שאלה: sorting","לאיזו קבוצה שייך רובוט?","חובה"
"content-sorting-110","שאלה: sorting","לאיזו קבוצה שייך רכבת צעצוע?","חובה"
